[04/06 06:51:25]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=38, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_38+CFD+Adam', seed=17, weight_decay=0.0001)
[04/06 07:06:28]: epoch: 102, train_loss: 0.490565, train_accuracy: 0.8998
[04/06 07:06:28]: Epoch Test: 102, Current test accuracy: 0.8475, Best test accuracy in 95: 0.8574
[04/06 07:06:36]: epoch: 103, train_loss: 0.486559, train_accuracy: 0.8985
[04/06 07:06:37]: Epoch Test: 103, Current test accuracy: 0.8460, Best test accuracy in 95: 0.8574
[04/06 07:06:45]: epoch: 104, train_loss: 0.491902, train_accuracy: 0.8977
[04/06 07:06:46]: Epoch Test: 104, Current test accuracy: 0.8447, Best test accuracy in 95: 0.8574
[04/06 07:06:54]: epoch: 105, train_loss: 0.488215, train_accuracy: 0.8987
[04/06 07:06:55]: Epoch Test: 105, Current test accuracy: 0.8487, Best test accuracy in 95: 0.8574
[04/06 07:07:03]: epoch: 106, train_loss: 0.481841, train_accuracy: 0.8992
[04/06 07:07:03]: Epoch Test: 106, Current test accuracy: 0.8594, Best test accuracy in 106: 0.8594
[04/06 07:07:12]: epoch: 107, train_loss: 0.485901, train_accuracy: 0.8987
[04/06 07:07:12]: Epoch Test: 107, Current test accuracy: 0.8489, Best test accuracy in 106: 0.8594
[04/06 07:07:21]: epoch: 108, train_loss: 0.474482, train_accuracy: 0.9011
[04/06 07:07:21]: Epoch Test: 108, Current test accuracy: 0.8510, Best test accuracy in 106: 0.8594
[04/06 07:07:29]: epoch: 109, train_loss: 0.478135, train_accuracy: 0.9017
[04/06 07:07:30]: Epoch Test: 109, Current test accuracy: 0.8586, Best test accuracy in 106: 0.8594
[04/06 07:07:38]: epoch: 110, train_loss: 0.476135, train_accuracy: 0.9011
[04/06 07:07:39]: Epoch Test: 110, Current test accuracy: 0.8475, Best test accuracy in 106: 0.8594
[04/06 07:07:47]: epoch: 111, train_loss: 0.470455, train_accuracy: 0.9034
[04/06 07:07:48]: Epoch Test: 111, Current test accuracy: 0.8412, Best test accuracy in 106: 0.8594
[04/06 07:07:56]: epoch: 112, train_loss: 0.463956, train_accuracy: 0.9044
[04/06 07:07:56]: Epoch Test: 112, Current test accuracy: 0.8324, Best test accuracy in 106: 0.8594
[04/06 07:08:05]: epoch: 113, train_loss: 0.469841, train_accuracy: 0.9021
[04/06 07:08:05]: Epoch Test: 113, Current test accuracy: 0.8558, Best test accuracy in 106: 0.8594
[04/06 07:08:13]: epoch: 114, train_loss: 0.459562, train_accuracy: 0.9047
[04/06 07:08:14]: Epoch Test: 114, Current test accuracy: 0.8471, Best test accuracy in 106: 0.8594
[04/06 07:08:22]: epoch: 115, train_loss: 0.464144, train_accuracy: 0.9042
[04/06 07:08:23]: Epoch Test: 115, Current test accuracy: 0.8573, Best test accuracy in 106: 0.8594
[04/06 07:08:31]: epoch: 116, train_loss: 0.470499, train_accuracy: 0.9008
[04/06 07:08:32]: Epoch Test: 116, Current test accuracy: 0.8627, Best test accuracy in 116: 0.8627
[04/06 07:08:40]: epoch: 117, train_loss: 0.456596, train_accuracy: 0.9050
[04/06 07:08:40]: Epoch Test: 117, Current test accuracy: 0.8559, Best test accuracy in 116: 0.8627
[04/06 07:08:49]: epoch: 118, train_loss: 0.463428, train_accuracy: 0.9042
[04/06 07:08:49]: Epoch Test: 118, Current test accuracy: 0.8530, Best test accuracy in 116: 0.8627
[04/06 07:08:57]: epoch: 119, train_loss: 0.455553, train_accuracy: 0.9049
[04/06 07:08:58]: Epoch Test: 119, Current test accuracy: 0.8460, Best test accuracy in 116: 0.8627
[04/06 07:09:06]: epoch: 120, train_loss: 0.453806, train_accuracy: 0.9066
[04/06 07:09:07]: Epoch Test: 120, Current test accuracy: 0.8551, Best test accuracy in 116: 0.8627
[04/06 07:09:15]: epoch: 121, train_loss: 0.455013, train_accuracy: 0.9062
[04/06 07:09:15]: Epoch Test: 121, Current test accuracy: 0.8495, Best test accuracy in 116: 0.8627
[04/06 07:09:24]: epoch: 122, train_loss: 0.452422, train_accuracy: 0.9066
