[04/06 15:22:57]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=38, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_38+CFD+SGD', seed=17, weight_decay=0.0001)
[04/06 15:29:00]: Epoch Test: 42, Current test accuracy: 0.8559, Best test accuracy in 41: 0.8785
[04/06 15:29:08]: epoch: 43, train_loss: 0.230873, train_accuracy: 0.9191
[04/06 15:29:09]: Epoch Test: 43, Current test accuracy: 0.8651, Best test accuracy in 41: 0.8785
[04/06 15:29:17]: epoch: 44, train_loss: 0.222026, train_accuracy: 0.9217
[04/06 15:29:17]: Epoch Test: 44, Current test accuracy: 0.8485, Best test accuracy in 41: 0.8785
[04/06 15:29:25]: epoch: 45, train_loss: 0.225779, train_accuracy: 0.9211
[04/06 15:29:26]: Epoch Test: 45, Current test accuracy: 0.8676, Best test accuracy in 41: 0.8785
[04/06 15:29:34]: epoch: 46, train_loss: 0.218346, train_accuracy: 0.9234
[04/06 15:29:34]: Epoch Test: 46, Current test accuracy: 0.8702, Best test accuracy in 41: 0.8785
[04/06 15:29:42]: epoch: 47, train_loss: 0.216274, train_accuracy: 0.9239
[04/06 15:29:43]: Epoch Test: 47, Current test accuracy: 0.8688, Best test accuracy in 41: 0.8785
[04/06 15:29:51]: epoch: 48, train_loss: 0.214741, train_accuracy: 0.9253
[04/06 15:29:52]: Epoch Test: 48, Current test accuracy: 0.8723, Best test accuracy in 41: 0.8785
[04/06 15:30:00]: epoch: 49, train_loss: 0.213650, train_accuracy: 0.9249
[04/06 15:30:01]: Epoch Test: 49, Current test accuracy: 0.8703, Best test accuracy in 41: 0.8785
[04/06 15:30:08]: epoch: 50, train_loss: 0.214919, train_accuracy: 0.9243
[04/06 15:30:09]: Epoch Test: 50, Current test accuracy: 0.8693, Best test accuracy in 41: 0.8785
[04/06 15:30:17]: epoch: 51, train_loss: 0.208689, train_accuracy: 0.9263
[04/06 15:30:17]: Epoch Test: 51, Current test accuracy: 0.8538, Best test accuracy in 41: 0.8785
[04/06 15:30:25]: epoch: 52, train_loss: 0.208820, train_accuracy: 0.9265
[04/06 15:30:26]: Epoch Test: 52, Current test accuracy: 0.8535, Best test accuracy in 41: 0.8785
[04/06 15:30:34]: epoch: 53, train_loss: 0.207156, train_accuracy: 0.9288
[04/06 15:30:34]: Epoch Test: 53, Current test accuracy: 0.8507, Best test accuracy in 41: 0.8785
[04/06 15:30:42]: epoch: 54, train_loss: 0.206802, train_accuracy: 0.9277
[04/06 15:30:43]: Epoch Test: 54, Current test accuracy: 0.8764, Best test accuracy in 41: 0.8785
[04/06 15:30:50]: epoch: 55, train_loss: 0.203658, train_accuracy: 0.9283
[04/06 15:30:51]: Epoch Test: 55, Current test accuracy: 0.8734, Best test accuracy in 41: 0.8785
[04/06 15:30:59]: epoch: 56, train_loss: 0.205126, train_accuracy: 0.9274
