[04/05 20:14:58]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=110, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/04052000', seed=17, weight_decay=0.0001)
[04/05 20:41:38]: Epoch Test: 65, Current test accuracy: 0.8820, Best test accuracy in 65: 0.8820
[04/05 20:42:01]: epoch: 66, train_loss: 0.330874, train_accuracy: 0.9330
[04/05 20:42:02]: Epoch Test: 66, Current test accuracy: 0.8767, Best test accuracy in 65: 0.8820
[04/05 20:42:26]: epoch: 67, train_loss: 0.335217, train_accuracy: 0.9325
[04/05 20:42:27]: Epoch Test: 67, Current test accuracy: 0.8792, Best test accuracy in 65: 0.8820
[04/05 20:42:50]: epoch: 68, train_loss: 0.327507, train_accuracy: 0.9338
[04/05 20:42:51]: Epoch Test: 68, Current test accuracy: 0.8738, Best test accuracy in 65: 0.8820
[04/05 20:43:15]: epoch: 69, train_loss: 0.317201, train_accuracy: 0.9353
[04/05 20:43:16]: Epoch Test: 69, Current test accuracy: 0.8672, Best test accuracy in 65: 0.8820
[04/05 20:43:39]: epoch: 70, train_loss: 0.320982, train_accuracy: 0.9333
[04/05 20:43:41]: Epoch Test: 70, Current test accuracy: 0.8810, Best test accuracy in 65: 0.8820
[04/05 20:44:04]: epoch: 71, train_loss: 0.309123, train_accuracy: 0.9373
[04/05 20:44:05]: Epoch Test: 71, Current test accuracy: 0.8790, Best test accuracy in 65: 0.8820
[04/05 20:44:29]: epoch: 72, train_loss: 0.307841, train_accuracy: 0.9367
[04/05 20:44:30]: Epoch Test: 72, Current test accuracy: 0.8757, Best test accuracy in 65: 0.8820
[04/05 20:44:53]: epoch: 73, train_loss: 0.300583, train_accuracy: 0.9383
[04/05 20:44:54]: Epoch Test: 73, Current test accuracy: 0.8696, Best test accuracy in 65: 0.8820
[04/05 20:45:17]: epoch: 74, train_loss: 0.303026, train_accuracy: 0.9392
[04/05 20:45:19]: Epoch Test: 74, Current test accuracy: 0.8592, Best test accuracy in 65: 0.8820
[04/05 20:45:42]: epoch: 75, train_loss: 0.293389, train_accuracy: 0.9404
[04/05 20:45:43]: Epoch Test: 75, Current test accuracy: 0.8686, Best test accuracy in 65: 0.8820
[04/05 20:46:06]: epoch: 76, train_loss: 0.288489, train_accuracy: 0.9415
[04/05 20:46:08]: Epoch Test: 76, Current test accuracy: 0.8816, Best test accuracy in 65: 0.8820
[04/05 20:46:31]: epoch: 77, train_loss: 0.281586, train_accuracy: 0.9433
[04/05 20:46:32]: Epoch Test: 77, Current test accuracy: 0.8750, Best test accuracy in 65: 0.8820
[04/05 20:46:55]: epoch: 78, train_loss: 0.275140, train_accuracy: 0.9438
[04/05 20:46:56]: Epoch Test: 78, Current test accuracy: 0.8727, Best test accuracy in 65: 0.8820
