[04/06 00:10:14]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=56, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_56+CF+Adam', seed=17, weight_decay=0.0001)
[04/06 00:26:07]: Epoch Test: 78, Current test accuracy: 0.8635, Best test accuracy in 70: 0.8706
[04/06 00:26:19]: epoch: 79, train_loss: 0.260606, train_accuracy: 0.9216
[04/06 00:26:19]: Epoch Test: 79, Current test accuracy: 0.8675, Best test accuracy in 70: 0.8706
[04/06 00:26:31]: epoch: 80, train_loss: 0.251075, train_accuracy: 0.9252
[04/06 00:26:32]: Epoch Test: 80, Current test accuracy: 0.8642, Best test accuracy in 70: 0.8706
[04/06 00:26:43]: epoch: 81, train_loss: 0.250048, train_accuracy: 0.9244
[04/06 00:26:44]: Epoch Test: 81, Current test accuracy: 0.8534, Best test accuracy in 70: 0.8706
[04/06 00:26:55]: epoch: 82, train_loss: 0.247005, train_accuracy: 0.9267
[04/06 00:26:56]: Epoch Test: 82, Current test accuracy: 0.8725, Best test accuracy in 82: 0.8725
[04/06 00:27:07]: epoch: 83, train_loss: 0.251444, train_accuracy: 0.9247
[04/06 00:27:08]: Epoch Test: 83, Current test accuracy: 0.8625, Best test accuracy in 82: 0.8725
[04/06 00:27:20]: epoch: 84, train_loss: 0.240113, train_accuracy: 0.9272
[04/06 00:27:20]: Epoch Test: 84, Current test accuracy: 0.8570, Best test accuracy in 82: 0.8725
[04/06 00:27:32]: epoch: 85, train_loss: 0.247801, train_accuracy: 0.9260
[04/06 00:27:33]: Epoch Test: 85, Current test accuracy: 0.8594, Best test accuracy in 82: 0.8725
[04/06 00:27:44]: epoch: 86, train_loss: 0.243335, train_accuracy: 0.9278
[04/06 00:27:45]: Epoch Test: 86, Current test accuracy: 0.8624, Best test accuracy in 82: 0.8725
[04/06 00:27:56]: epoch: 87, train_loss: 0.242323, train_accuracy: 0.9274
[04/06 00:27:57]: Epoch Test: 87, Current test accuracy: 0.8720, Best test accuracy in 82: 0.8725
[04/06 00:28:09]: epoch: 88, train_loss: 0.232064, train_accuracy: 0.9298
[04/06 00:28:10]: Epoch Test: 88, Current test accuracy: 0.8616, Best test accuracy in 82: 0.8725
[04/06 00:28:21]: epoch: 89, train_loss: 0.232715, train_accuracy: 0.9311
[04/06 00:28:22]: Epoch Test: 89, Current test accuracy: 0.8741, Best test accuracy in 89: 0.8741
[04/06 00:28:33]: epoch: 90, train_loss: 0.234527, train_accuracy: 0.9293
[04/06 00:28:34]: Epoch Test: 90, Current test accuracy: 0.8670, Best test accuracy in 89: 0.8741
[04/06 00:28:45]: epoch: 91, train_loss: 0.231457, train_accuracy: 0.9310
[04/06 00:28:46]: Epoch Test: 91, Current test accuracy: 0.8769, Best test accuracy in 91: 0.8769
[04/06 00:28:58]: epoch: 92, train_loss: 0.228240, train_accuracy: 0.9314
[04/06 00:28:58]: Epoch Test: 92, Current test accuracy: 0.8709, Best test accuracy in 91: 0.8769
[04/06 00:29:10]: epoch: 93, train_loss: 0.224443, train_accuracy: 0.9336
[04/06 00:29:11]: Epoch Test: 93, Current test accuracy: 0.8681, Best test accuracy in 91: 0.8769
[04/06 00:29:22]: epoch: 94, train_loss: 0.222536, train_accuracy: 0.9332
[04/06 00:29:23]: Epoch Test: 94, Current test accuracy: 0.8734, Best test accuracy in 91: 0.8769
[04/06 00:29:34]: epoch: 95, train_loss: 0.224779, train_accuracy: 0.9328
[04/06 00:29:35]: Epoch Test: 95, Current test accuracy: 0.8779, Best test accuracy in 95: 0.8779
[04/06 00:29:46]: epoch: 96, train_loss: 0.221171, train_accuracy: 0.9335
[04/06 00:29:47]: Epoch Test: 96, Current test accuracy: 0.8700, Best test accuracy in 95: 0.8779
[04/06 00:29:59]: epoch: 97, train_loss: 0.220880, train_accuracy: 0.9335
[04/06 00:30:00]: Epoch Test: 97, Current test accuracy: 0.8653, Best test accuracy in 95: 0.8779
[04/06 00:30:11]: epoch: 98, train_loss: 0.214501, train_accuracy: 0.9349
[04/06 00:30:12]: Epoch Test: 98, Current test accuracy: 0.8696, Best test accuracy in 95: 0.8779
[04/06 00:30:23]: epoch: 99, train_loss: 0.213490, train_accuracy: 0.9360
[04/06 00:30:24]: Epoch Test: 99, Current test accuracy: 0.8651, Best test accuracy in 95: 0.8779
[04/06 00:30:35]: epoch: 100, train_loss: 0.211271, train_accuracy: 0.9367
[04/06 00:30:36]: Epoch Test: 100, Current test accuracy: 0.8736, Best test accuracy in 95: 0.8779
[04/06 00:30:48]: epoch: 101, train_loss: 0.217165, train_accuracy: 0.9363
[04/06 00:30:48]: Epoch Test: 101, Current test accuracy: 0.8686, Best test accuracy in 95: 0.8779
