[04/06 08:37:27]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=56, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_56+C+Adam', seed=17, weight_decay=0.0001)
[04/06 08:46:38]: epoch: 45, train_loss: 0.425901, train_accuracy: 0.8560
[04/06 08:46:38]: Epoch Test: 45, Current test accuracy: 0.8118, Best test accuracy in 44: 0.8161
[04/06 08:46:50]: epoch: 46, train_loss: 0.421961, train_accuracy: 0.8576
[04/06 08:46:51]: Epoch Test: 46, Current test accuracy: 0.8207, Best test accuracy in 46: 0.8207
[04/06 08:47:02]: epoch: 47, train_loss: 0.419486, train_accuracy: 0.8585
[04/06 08:47:03]: Epoch Test: 47, Current test accuracy: 0.7809, Best test accuracy in 46: 0.8207
[04/06 08:47:15]: epoch: 48, train_loss: 0.404815, train_accuracy: 0.8643
[04/06 08:47:15]: Epoch Test: 48, Current test accuracy: 0.8087, Best test accuracy in 46: 0.8207
[04/06 08:47:27]: epoch: 49, train_loss: 0.414453, train_accuracy: 0.8598
[04/06 08:47:27]: Epoch Test: 49, Current test accuracy: 0.8069, Best test accuracy in 46: 0.8207
[04/06 08:47:39]: epoch: 50, train_loss: 0.406124, train_accuracy: 0.8630
[04/06 08:47:40]: Epoch Test: 50, Current test accuracy: 0.8096, Best test accuracy in 46: 0.8207
[04/06 08:47:51]: epoch: 51, train_loss: 0.397233, train_accuracy: 0.8666
[04/06 08:47:52]: Epoch Test: 51, Current test accuracy: 0.8080, Best test accuracy in 46: 0.8207
[04/06 08:48:04]: epoch: 52, train_loss: 0.395608, train_accuracy: 0.8684
[04/06 08:48:04]: Epoch Test: 52, Current test accuracy: 0.8238, Best test accuracy in 52: 0.8238
[04/06 08:48:16]: epoch: 53, train_loss: 0.384758, train_accuracy: 0.8709
[04/06 08:48:17]: Epoch Test: 53, Current test accuracy: 0.8444, Best test accuracy in 53: 0.8444
[04/06 08:48:28]: epoch: 54, train_loss: 0.382435, train_accuracy: 0.8710
[04/06 08:48:29]: Epoch Test: 54, Current test accuracy: 0.8208, Best test accuracy in 53: 0.8444
[04/06 08:48:40]: epoch: 55, train_loss: 0.381211, train_accuracy: 0.8722
[04/06 08:48:41]: Epoch Test: 55, Current test accuracy: 0.8332, Best test accuracy in 53: 0.8444
[04/06 08:48:52]: epoch: 56, train_loss: 0.370775, train_accuracy: 0.8753
[04/06 08:48:53]: Epoch Test: 56, Current test accuracy: 0.8192, Best test accuracy in 53: 0.8444
[04/06 08:49:05]: epoch: 57, train_loss: 0.376265, train_accuracy: 0.8728
[04/06 08:49:05]: Epoch Test: 57, Current test accuracy: 0.8317, Best test accuracy in 53: 0.8444
[04/06 08:49:17]: epoch: 58, train_loss: 0.366086, train_accuracy: 0.8752
[04/06 08:49:18]: Epoch Test: 58, Current test accuracy: 0.8387, Best test accuracy in 53: 0.8444
[04/06 08:49:29]: epoch: 59, train_loss: 0.363004, train_accuracy: 0.8787
[04/06 08:49:30]: Epoch Test: 59, Current test accuracy: 0.8236, Best test accuracy in 53: 0.8444
[04/06 08:49:41]: epoch: 60, train_loss: 0.361392, train_accuracy: 0.8778
[04/06 08:49:42]: Epoch Test: 60, Current test accuracy: 0.7978, Best test accuracy in 53: 0.8444
[04/06 08:49:54]: epoch: 61, train_loss: 0.353866, train_accuracy: 0.8804
[04/06 08:49:54]: Epoch Test: 61, Current test accuracy: 0.8284, Best test accuracy in 53: 0.8444
[04/06 08:50:06]: epoch: 62, train_loss: 0.346265, train_accuracy: 0.8830
[04/06 08:50:06]: Epoch Test: 62, Current test accuracy: 0.8547, Best test accuracy in 62: 0.8547
[04/06 08:50:18]: epoch: 63, train_loss: 0.344098, train_accuracy: 0.8838
[04/06 08:50:19]: Epoch Test: 63, Current test accuracy: 0.8134, Best test accuracy in 62: 0.8547
[04/06 08:50:30]: epoch: 64, train_loss: 0.346163, train_accuracy: 0.8824
[04/06 08:50:31]: Epoch Test: 64, Current test accuracy: 0.8400, Best test accuracy in 62: 0.8547
[04/06 08:50:42]: epoch: 65, train_loss: 0.343852, train_accuracy: 0.8824
[04/06 08:50:43]: Epoch Test: 65, Current test accuracy: 0.8579, Best test accuracy in 65: 0.8579
[04/06 08:50:55]: epoch: 66, train_loss: 0.333613, train_accuracy: 0.8877
[04/06 08:50:55]: Epoch Test: 66, Current test accuracy: 0.8428, Best test accuracy in 65: 0.8579
[04/06 08:51:07]: epoch: 67, train_loss: 0.331367, train_accuracy: 0.8892
[04/06 08:51:08]: Epoch Test: 67, Current test accuracy: 0.8358, Best test accuracy in 65: 0.8579
[04/06 08:51:19]: epoch: 68, train_loss: 0.326346, train_accuracy: 0.8895
[04/06 08:51:20]: Epoch Test: 68, Current test accuracy: 0.8265, Best test accuracy in 65: 0.8579
[04/06 08:51:31]: epoch: 69, train_loss: 0.326091, train_accuracy: 0.8902
[04/06 08:51:32]: Epoch Test: 69, Current test accuracy: 0.8194, Best test accuracy in 65: 0.8579
[04/06 08:51:43]: epoch: 70, train_loss: 0.316893, train_accuracy: 0.8921
[04/06 08:51:44]: Epoch Test: 70, Current test accuracy: 0.8318, Best test accuracy in 65: 0.8579
[04/06 08:51:55]: epoch: 71, train_loss: 0.323190, train_accuracy: 0.8906
[04/06 08:51:56]: Epoch Test: 71, Current test accuracy: 0.8308, Best test accuracy in 65: 0.8579
[04/06 08:52:08]: epoch: 72, train_loss: 0.319423, train_accuracy: 0.8919
[04/06 08:52:08]: Epoch Test: 72, Current test accuracy: 0.8356, Best test accuracy in 65: 0.8579
[04/06 08:52:20]: epoch: 73, train_loss: 0.316466, train_accuracy: 0.8933
[04/06 08:52:21]: Epoch Test: 73, Current test accuracy: 0.8448, Best test accuracy in 65: 0.8579
[04/06 08:52:32]: epoch: 74, train_loss: 0.313601, train_accuracy: 0.8945
[04/06 08:52:33]: Epoch Test: 74, Current test accuracy: 0.8422, Best test accuracy in 65: 0.8579
[04/06 08:52:44]: epoch: 75, train_loss: 0.306244, train_accuracy: 0.8955
[04/06 08:52:45]: Epoch Test: 75, Current test accuracy: 0.8360, Best test accuracy in 65: 0.8579
[04/06 08:52:57]: epoch: 76, train_loss: 0.303141, train_accuracy: 0.8962
[04/06 08:52:57]: Epoch Test: 76, Current test accuracy: 0.8281, Best test accuracy in 65: 0.8579
[04/06 08:53:09]: epoch: 77, train_loss: 0.305798, train_accuracy: 0.8972
[04/06 08:53:10]: Epoch Test: 77, Current test accuracy: 0.8504, Best test accuracy in 65: 0.8579
[04/06 08:53:21]: epoch: 78, train_loss: 0.302020, train_accuracy: 0.8985
[04/06 08:53:22]: Epoch Test: 78, Current test accuracy: 0.8476, Best test accuracy in 65: 0.8579
[04/06 08:53:33]: epoch: 79, train_loss: 0.292288, train_accuracy: 0.9005
[04/06 08:53:34]: Epoch Test: 79, Current test accuracy: 0.8606, Best test accuracy in 79: 0.8606
[04/06 08:53:45]: epoch: 80, train_loss: 0.293883, train_accuracy: 0.9005
[04/06 08:53:46]: Epoch Test: 80, Current test accuracy: 0.8383, Best test accuracy in 79: 0.8606
[04/06 08:53:58]: epoch: 81, train_loss: 0.295984, train_accuracy: 0.9002
[04/06 08:53:58]: Epoch Test: 81, Current test accuracy: 0.8475, Best test accuracy in 79: 0.8606
[04/06 08:54:10]: epoch: 82, train_loss: 0.302249, train_accuracy: 0.8978
